Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
0,3,0,0,0,0,2,4,2,68.0
0,3,0,0,0,0,2,5,5,70.0
0,3,0,0,0,0,3,4,3,75.0
1,3,4,1,2,1,1,2,2,55.0
1,3,1,2,1,1,1,4,3,55.0
0,3,2,4,3,1,2,3,3,50.0
1,3,0,0,0,0,2,4,4,80.0
0,3,0,0,0,0,3,4,4,90.0
1,3,4,3,2,1,3,4,3,50.0
1,3,0,0,0,0,2,4,2,90.0
0,3,0,0,0,0,3,6,4,86.0
0,3,0,0,0,0,2,3,2,65.0
1,3,1,2,2,1,3,3,3,45.0
1,3,1,3,1,1,2,4,4,50.0
0,3,0,0,0,0,2,4,3,85.0
1,3,0,0,0,0,2,3,3,65.0
0,3,0,0,0,0,2,3,3,85.0
0,3,2,3,3,1,3,2,2,70.0
0,3,2,3,2,1,2,3,3,67.0
0,3,0,0,0,0,3,3,2,88.0
1,3,0,0,0,0,1,4,2,70.0
1,3,0,0,0,0,1,4,4,65.0
0,3,3,4,3,1,1,3,3,60.0
1,3,2,3,1,1,2,3,3,85.0
1,3,3,1,3,1,1,5,4,75.0
1,3,1,5,2,1,1,2,2,60.0
1,3,0,0,0,0,2,1,3,65.0
0,3,2,4,2,1,1,2,2,70.0
0,3,0,0,0,0,1,2,3,65.0
0,3,0,0,0,0,2,5,3,60.0
0,3,3,2,1,1,1,5,4,50.0
0,3,0,0,0,0,3,3,2,50.0
0,3,0,0,0,0,2,4,3,86.0
1,3,4,1,4,1,2,2,2,55.0
0,3,0,0,0,0,2,2,3,59.0
0,3,0,0,0,0,1,2,2,55.0
0,3,1,5,2,1,2,4,4,88.0
0,3,3,3,2,1,1,4,3,55.0
0,3,1,2,1,1,1,2,4,60.0
0,3,1,3,3,1,2,4,4,100.0
0,3,1,2,1,1,1,3,1,65.0
0,3,3,3,2,1,2,5,4,70.0
1,3,1,5,2,1,2,3,1,65.0
1,3,1,4,3,1,3,5,3,65.0
1,3,3,3,1,1,2,4,5,50.0
0,3,1,5,1,1,1,1,2,70.0
0,3,2,5,1,1,2,4,4,90.0
1,3,2,2,1,1,2,5,4,90.0
1,3,1,4,2,1,1,3,4,70.0
0,3,1,2,1,1,2,3,2,65.0
1,3,4,1,3,1,2,5,3,75.0
0,3,2,3,1,1,2,4,4,80.0
1,3,1,3,1,1,1,4,1,65.0
1,3,0,0,0,0,1,2,2,92.6
1,3,0,0,0,0,2,3,1,50.0
0,3,1,3,1,1,1,3,3,53.0
0,3,1,5,1,1,2,4,2,90.0
0,3,1,5,2,1,2,3,3,80.0
1,3,3,4,3,1,1,3,3,50.0
1,3,1,5,1,1,2,2,3,75.0
1,3,4,3,3,1,2,2,2,75.0
1,4,3,5,2,1,3,5,6,90.0
0,4,0,0,0,0,2,3,4,70.0
0,4,0,0,0,0,2,4,3,85.0
0,4,0,0,0,0,2,2,2,77.5
1,4,4,3,3,1,4,4,4,80.0
1,4,0,0,0,0,1,3,3,60.0
0,4,1,2,2,1,1,2,2,72.0
0,4,0,0,0,0,2,5,3,80.0
0,4,0,0,0,0,3,4,5,80.0
0,4,0,0,0,0,2,3,4,70.0
0,4,0,0,0,0,2,4,4,89.0
0,4,0,0,0,0,3,3,2,80.0
1,4,0,0,0,0,1,3,3,70.0
1,4,1,4,1,1,4,3,4,75.0
0,4,0,0,0,0,3,5,4,87.0
0,4,0,0,0,0,1,3,2,70.0
0,4,0,0,0,0,1,4,5,85.0
